timestamp,city,aqi,weather_icon,wind_speed,humidity
2026-01-03T00:01:48.650986+07:00,Hà Nội,128,/dl/assets/svg/weather/ic-weather-04n.svg,9.5 km/h,80%
2026-01-03T01:02:11.010729+07:00,Hà Nội,127,/dl/assets/svg/weather/ic-weather-04n.svg,9.5 km/h,80%
2026-01-03T02:01:27.145969+07:00,Hà Nội,128,/dl/assets/svg/weather/ic-weather-04n.svg,10 km/h,78%
2026-01-03T03:01:41.116485+07:00,Hà Nội,102,/dl/assets/svg/weather/ic-weather-04n.svg,9.2 km/h,85%
2026-01-03T04:01:23.303873+07:00,Hà Nội,93,/dl/assets/svg/weather/ic-weather-04n.svg,8.6 km/h,84%
2026-01-03T05:01:24.431621+07:00,Hà Nội,110,/dl/assets/svg/weather/ic-weather-04n.svg,8.2 km/h,77%
2026-01-03T06:01:49.362119+07:00,Hà Nội,119,/dl/assets/svg/weather/ic-weather-04n.svg,7.1 km/h,77%
2026-01-03T07:04:49.052035+07:00,Hà Nội,106,/dl/assets/svg/weather/ic-weather-04d.svg,7.5 km/h,77%
2026-01-03T08:29:26.912830+07:00,Hà Nội,115,/dl/assets/svg/weather/ic-weather-04d.svg,6.7 km/h,76%
2026-01-03T09:31:43.105920+07:00,Hà Nội,109,/dl/assets/svg/weather/ic-weather-04d.svg,5.9 km/h,78%
2026-01-03T10:27:42.213300+07:00,Hà Nội,135,/dl/assets/svg/weather/ic-weather-04d.svg,6.9 km/h,76%
2026-01-03T11:09:04.520974+07:00,Hà Nội,153,/dl/assets/svg/weather/ic-weather-04d.svg,8.4 km/h,68%
2026-01-03T12:02:25.059366+07:00,Hà Nội,148,/dl/assets/svg/weather/ic-weather-04d.svg,9.3 km/h,69%
2026-01-03T13:02:28.111736+07:00,Hà Nội,154,/dl/assets/svg/weather/ic-weather-04d.svg,11.9 km/h,68%
2026-01-03T14:01:56.849412+07:00,Hà Nội,156,/dl/assets/svg/weather/ic-weather-04d.svg,11.9 km/h,68%
2026-01-03T15:01:50.795199+07:00,Hà Nội,157,/dl/assets/svg/weather/ic-weather-04d.svg,11.3 km/h,70%
